course_id,student_id,course_name,teacher,weekday,period_start,period_end,location,weeks
C0001,DEMO_USER,高等数学A（下）,张明华,1,1,2,1号教学楼 301,1-16周
C0002,DEMO_USER,数据结构与算法,李志强,1,3,4,综合教学楼 201,1-16周
C0003,DEMO_USER,数据库原理,赵建国,1,5,6,2号教学楼 102,1-12周
C0004,DEMO_USER,大学英语（2）,王丽,1,7,8,逸夫楼 305,1-16周
C0005,DEMO_USER,线性代数,杨帆,2,1,2,1号教学楼 205,1-16周
C0006,DEMO_USER,C语言程序设计,陈伟,2,3,4,实验中心 301,1-16周
C0007,DEMO_USER,数字逻辑,马文涛,2,5,6,2号教学楼 305,1-16周
C0008,DEMO_USER,大学体育（篮球）,刘洋,2,7,8,操场,1-16周
C0009,DEMO_USER,高等数学A（下）,张明华,3,1,2,1号教学楼 301,1-16周
C0010,DEMO_USER,马克思主义基本原理,周晓燕,3,3,4,逸夫楼 201,1-16周
C0011,DEMO_USER,Python程序设计,孙志刚,3,5,6,实验中心 201,1-16周
C0012,DEMO_USER,数据结构与算法,李志强,4,1,2,综合教学楼 201,1-16周
C0013,DEMO_USER,概率论与数理统计,何芳,4,3,4,2号教学楼 301,1-16周
C0014,DEMO_USER,数据库原理,赵建国,4,5,6,2号教学楼 102,1-12周
C0015,DEMO_USER,大学生心理健康,林婷,4,7,8,逸夫楼 阶梯教室,1-8周
C0016,DEMO_USER,C语言程序设计,陈伟,5,1,2,实验中心 301,1-16周
C0017,DEMO_USER,线性代数,杨帆,5,3,4,1号教学楼 205,1-16周
C0018,DEMO_USER,形势与政策,吴建国,5,5,6,逸夫楼 阶梯教室,1-8周
C0019,20240001,信号与系统,邓丽华,5,3,4,综合教学楼 202,4-15周
C0020,20240001,数字电子技术,吴建国,3,3,4,实验中心 102,1-14周
C0021,20240001,单片机原理,王丽,4,5,6,实验中心 205,3-12周
C0022,20240001,模拟电子技术,韩博,4,7,8,实验中心 203,2-12周
C0023,20240001,大学物理,彭伟,5,5,6,2号教学楼 405,4-14周
C0024,20240001,通信原理,曹鹏,2,3,4,逸夫楼 401,1-10周
C0025,20240001,马克思主义基本原理,郭晓东,4,1,2,逸夫楼 405,4-13周
C0026,20240001,中国近现代史纲要,赵建国,5,1,2,3号教学楼 303,1-13周
C0027,20240001,大学英语（2）,韩博,4,3,4,逸夫楼 103,2-10周
C0028,20240002,C语言程序设计,沈洁,1,5,6,实验中心 101,3-13周
C0029,20240002,Python程序设计,孙志刚,2,1,2,实验中心 101,4-10周
C0030,20240002,数据库原理,陈伟,5,3,4,2号教学楼 405,2-13周
C0031,20240002,计算机网络,周晓燕,5,7,8,综合教学楼 203,4-14周
C0032,20240002,概率论与数理统计,赵建国,4,7,8,2号教学楼 202,1-14周
C0033,20240002,离散数学,彭伟,1,3,4,2号教学楼 201,1-9周
C0034,20240002,数据结构与算法,周晓燕,3,7,8,综合教学楼 205,4-12周
C0035,20240002,形势与政策,何芳,1,7,8,逸夫楼 404,4-9周
C0036,20240002,大学生心理健康,郭晓东,1,1,2,逸夫楼 301,2-12周
C0037,20240003,英美文学,李志强,4,1,2,3号教学楼 101,2-11周
C0038,20240003,英语写作,沈洁,4,7,8,逸夫楼 204,1-11周
C0039,20240003,综合英语（4）,韩博,4,5,6,逸夫楼 304,4-11周
C0040,20240003,英语视听说,周晓燕,2,5,6,逸夫楼 105,1-14周
C0041,20240003,英汉翻译,彭伟,1,1,2,逸夫楼 405,2-9周
C0042,20240003,大学体育（篮球）,刘洋,5,1,2,操场 105,1-12周
C0043,20240003,马克思主义基本原理,彭伟,5,3,4,逸夫楼 105,1-15周
C0044,20240003,大学英语（2）,杨帆,5,5,6,逸夫楼 203,2-13周
C0045,20240004,宏观经济学,曹鹏,1,3,4,逸夫楼 302,3-10周
C0046,20240004,管理学原理,马文涛,2,5,6,3号教学楼 204,3-9周
C0047,20240004,会计学基础,赵建国,5,5,6,3号教学楼 203,1-10周
C0048,20240004,计量经济学,杨帆,5,3,4,2号教学楼 305,2-14周
C0049,20240004,微观经济学,杨帆,5,7,8,逸夫楼 101,4-13周
C0050,20240004,市场营销学,吴建国,1,1,2,逸夫楼 203,2-16周
C0051,20240004,形势与政策,赵建国,5,1,2,逸夫楼 102,1-14周
C0052,20240004,大学生心理健康,李志强,4,3,4,逸夫楼 303,1-14周
C0053,20240004,大学英语（2）,赵建国,2,3,4,逸夫楼 305,4-11周
C0054,20240005,宏观经济学,郭晓东,2,1,2,逸夫楼 104,2-12周
C0055,20240005,计量经济学,马文涛,4,5,6,2号教学楼 202,1-12周
C0056,20240005,会计学基础,杨帆,3,1,2,3号教学楼 305,4-14周
C0057,20240005,微观经济学,杨帆,1,1,2,逸夫楼 205,3-9周
C0058,20240005,管理学原理,何芳,1,7,8,3号教学楼 304,1-15周
C0059,20240005,大学体育（篮球）,杨帆,5,3,4,操场 104,1-12周
C0060,20240005,马克思主义基本原理,王丽,3,7,8,逸夫楼 305,3-10周
C0061,20240005,中国近现代史纲要,林婷,3,5,6,3号教学楼 304,3-11周
